UID,Good_Bad,CUSTOMER_PROFILE_CODE,LOCATIONNAME,VEHICLEMODEL,ASSETCOST,LOANAMOUNT,EMI,TENURE,ADDRESSCONFIRMED,DESIGNATION,RESIDENCETYPE,NOOFYEARSINSAMECITY,RESIDENCESTABILITY,RESIDENCELOCALITY,BUSINESSCATEGORY,BUSINESSMARGINGROSS,INCOMEEMPLOYMENT,STABILITYINBUSINESS,STABILITYCONFIRMED,STABILTIYCONFIRMEDTHRU,ISFAMILYINVOLVED,OFFICETYPE,MONTHLYTURNOVER,STOCKVALUEINHAND,BUSINESSMARGINNET,NOOFEMPLOYEES,NAMEBOARDSEEN,OFFICELOCALITY,ISRESIDENCECOMEOFFICE,ENDUSEOFLOAN,ENDUSEOFASSET,ASSETLOCATION,NEIGHBOURREF,POLITICALLINK,PROFESSIONTYPE,CURRENTBUSINESSSTABILITY,APPLICANTDESIGNATION,ASSETREGMONTH,ASSETREGYEAR,LANDOWNERSHIP,IRRIGATIONSOURCE,CROPSCULTIVATED,DISTFROMSCELOCATION,DISTFROMDEALERLOCATION,IMGCONFIRM,TOTALEXPENSEPERMONTH,NETINCOMEPERMONTH,FOIR
1,Bad,PROF270,MADURAI,HONDA CITY 1.5 GXI PETROL 2008,900000,350000,13369,36,Y,APPLICANT,R,20,4,3,PR005,0,80000,15,N,5,Y,O,0,0,0,50,N,2,N,WON USE,1,MADURAI,POSITIVE,N,SEP,2,PROPREITOR,,0,,,,0,0,Y,0,80000,17
2,Good,PROF218,KOLKATA,MARUTI SUZUKI EECO 7 STR PETROL 2011,400000,125250,5428,30,Y,SELF,O,45,45,3,PR005,0,35000,20,N,6,Y,O,0,0,0,1,Y,1,Y,NOT,1,BANGAON,POSITIVE,N,SEP,15,PROP,,0,,,,0,0,Y,8000,27000,20
3,Good,PROF305,NAGPUR,MARUTI SUZUKI SWIFT VDI DIESEL 2013,450000,329250,8536,60,Y,ELDER BROTHER,O,15,15,3,PR005,0,50000,3,Y,5,N,R,50000,0,0,1,Y,2,N,PERSONAL,1,NAGPUR,POSITIVE,N,SEP,3,PROPRIETOR,,0,,,,0,0,Y,0,50000,17
4,Good,PROF356,AHMEDABAD,FORD ENDEAVOUR XLT 4X2 DIESEL 2008,600000,300000,11084,36,Y,PROPRIETOR,O,35,30,3,PR005,25,60000,20,N,,N,O,300000,500000,20,4,Y,2,N,VEHICLE PURCHASSE,1,AHMEDABAD,POSITIVE,N,SEP,20,PROPRIETOR,,0,,,,0,0,Y,0,60000,18
5,Bad,PROF300,NAGPUR,MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2013,550000,429250,15898,36,Y,SELF,O,25,25,3,PR005,0,40000,15,N,,N,R,0,0,0,1,Y,2,N,NAA,1,,POSITIVE,N,SEP,15,SELF EMPLOYED,,0,,,,0,0,Y,10000,30000,53
6,Good,PROF310,PONDICHERRY ,MARUTI SUZUKI SWIFT DZIRE VDI BS IV DIESEL 2014,640823,504250,18336,36,Y,APPLICANT,O,37,37,3,PR005,0,145000,12,N,,N,R,0,0,0,2,Y,2,N,VEHICLE PURCHASE,1,,POSITIVE,N,SEP,12,PROPREITOR,,0,,,,0,0,Y,60000,85000,22
7,Good,PROF324,CHANDIGARH,TOYOTA INNOVA 2.5 G4 7 STR DIESEL 2011,280000,234250,11809,24,Y,SELF,O,42,42,3,PR005,0,75000,20,Y,5,Y,O,50000,1000000,0,2,Y,2,N,APPLICANT ,1,DHADRIAN ,POSITIVE,N,SEP,20,PROP,,0,,,,0,0,Y,37000,38000,35
8,Bad,PROF252,PUNE,MARUTI SUZUKI ALTO K10 VXI PETROL 2012,250000,174250,6432,36,Y,SELF,O,46,46,3,PR008,0,35000,22,Y,1,Y,O,0,0,0,0,N,2,N,TO PURCHASE USED CAR,1,,POSITIVE,N,AGR,22,FARMER,,0,,,,0,0,Y,10000,25000,26
9,Bad,PROF285,ROWB,HYUNDAI EON D LITE PLUS PETROL 2013,225000,184250,4837,60,Y,PROPREITOR,O,35,35,3,PR005,65,45000,3,Y,6,Y,O,75000,100000,45,0,N,2,N,PERSONAL,1,PANAGARH,POSITIVE,N,SEP,3,PROPRIETOR,,0,,,,0,0,Y,27000,18000,27
10,Good,PROF305,BANGALORE ,MAHINDRA SCORPIO VLS 2.2 M HAWK DIESEL 2011,600000,504250,14943,48,Y,SELF,O,15,3,4,PR005,0,80000,10,Y,5,N,R,80000,0,0,4,Y,2,N,APPLICANT,1,BANGLORE,POSITIVE,N,SEP,10,PROPREITOR,,0,,,,0,0,Y,20000,60000,25
11,Good,PROF356,COIMBATORE ,FORD FIGO ZXI DURATORQ 1.4 DIESEL 2010,355000,255000,7767,48,Y,APPLICANT,R,40,11,3,PR005,37,300000,20,Y,1,N,O,1000000,1500000,30,14,N,1,N,BUSINESS IMPROVEMENT,1,COIMBATORE,POSITIVE,N,SEP,8,PROP,,0,,,,0,0,Y,71709,228291,26
12,Bad,PROF063,COIMBATORE ,TOYOTA ETIOS GD DIESEL 2011,700000,354250,11159,48,Y,APPLICANT,R,15,4,3,PR006,0,50000,15,N,,N,R,0,0,0,15,Y,1,Y,SALE-PURCHASE TOYOTA ETIOS,1,COIMBATORE,POSITIVE,N,SEP,8,PROPRIETOR,,0,,,,0,0,Y,25959,24041,65
13,Bad,PROF213,KOLHAPUR,MARUTI SUZUKI OMNI 8 SEATER PETROL 2013,220000,154250,4623,48,Y,SELF,L,15,15,3,PR002,0,14000,15,N,5,Y,O,0,0,0,0,Y,2,N,FOR USED CAR PURCHASE,1,KUDAL,POSITIVE,N,SAL,12,CLURK,,0,,,,0,0,Y,3000,11000,42
14,Good,PROF227,CHENNAI I,HYUNDAI VERNA FLUIDIC 1.6 SX CRDI DIESEL 2012,400000,300000,10696,36,Y,HIRER,R,5,2,3,PR002,0,80000,12,Y,3,N,R,0,0,0,0,N,2,N,CAR PURCHASE AND VEHICLE WILL USE BY APPT AND HIS FATHER IN LAW,4,CHENNAI AND RAMNAD,POSITIVE,N,SAL,11,MANAGER PROJECTS INSURANCE,,0,,,,0,0,Y,20000,60000,18
15,Bad,PROF130,ERNAKULAM,MARUTI SUZUKI SWIFT DZIRE ZDI DIESEL 2008,360000,250000,9039,36,Y,PROPRIETOR,O,51,51,6,PR009,50,105000,35,Y,4,N,O,5000000,500000,0,15,Y,2,Y,VEHICLE PURCHASE,1,RAJAKUMARI,POSITIVE,N,AGR,35,INDIVIDUAL,,0,,,,0,0,Y,20000,85000,11
16,Good,PROF245,VISAKHAPATNAM,MARUTI SUZUKI ERTIGA VXI PETROL 2014,350000,300000,10621,36,Y,SELF,O,25,14,3,PR005,0,40000,24,Y,5,Y,O,0,0,0,2,Y,1,N,ASSET TO BE USED BY APPLICANT,1,VIZAG,POSITIVE,N,SEP,24,PROPRIETOR,,0,,,,0,0,Y,10000,30000,35
17,Bad,PROF247,VIJAYAWADA,MARUTI SUZUKI SWIFT LDI DIESEL 2007,250000,204250,10696,24,Y,APPLICANT,O,40,40,3,PR005,0,90000,20,Y,5,N,O,0,0,0,0,N,1,Y,FOR PURCHASE OF VEHICLE,1,POSANAPALLI,POSITIVE,N,SEP,5,REAL ESTATE,,0,,,,0,0,Y,28500,61500,32
18,Good,PROF026,JABALPUR,MARUTI SUZUKI WAGON R LXI BS III PETROL 2009,180000,111250,6994,18,Y,SELF,O,45,45,3,PR006,0,60000,25,Y,5,N,R,60000,0,0,1,Y,2,N,REQUIRE LOAN HIS PERSONAL AND BUSINESS ,1,JABALPUR,POSITIVE,N,SEP,25,SELF,,0,,,,0,0,Y,30000,30000,54
19,Bad,PROF252,CHENNAI II,MARUTI SUZUKI SWIFT VDI DIESEL 2011,400000,329250,10194,48,Y,APPLICANT,O,30,7,3,PR007,0,60000,10,Y,1,Y,O,0,0,0,0,N,1,N,APPLICANT ,1,SAME,POSITIVE,N,AGR,10,PROP,,0,,,,0,0,Y,10000,50000,20
20,Good,PROF297,COIMBATORE ,MARUTI SUZUKI ALTO 800 LXI PETROL 2014,236994,217250,6728,48,Y,APPLICANT ,O,4,4,3,PR005,0,50000,4,Y,3,N,R,200000,0,0,15,Y,2,N,PERSONAL USE ONLY,1,TIRUPUR,POSITIVE,N,SEP,4,PROP,,0,,,,0,0,Y,0,50000,13
21,Bad,PROF235,INDORE ,CHEVROLET TAVERA NEO 3 LS 10 STR BS III DIESEL 2013,800000,608500,16481,60,Y,PROPRIETOR,O,6,6,3,PR005,0,500000,6,Y,1,Y,O,0,0,0,5,Y,2,N,PURCHASE OF VEHICLE ,1,DEWAS,POSITIVE,N,SEP,6,PROPRIETOR,,0,,,,0,0,Y,,,NA
22,Good,CP02,VIJAYAWADA,MARUTI SUZUKI OMNI 8 SEATER PETROL 2012,200000,129250,6625,24,Y,APPLICANT ,O,5,5,3,PR005,0,40000,11,Y,5,N,O,0,0,0,0,Y,1,Y,FOR PPURCHASE OF VEHICLE ,1,ANANTHAVARAPPADU,POSITIVE,N,SEP,5,PASTOR ,,0,,,,0,0,Y,20000,20000,33
23,Bad,PROF096,TIRUNELVELI ,MAHINDRA SCORPIO LX BS III DIESEL 2009,390000,254250,10700,30,Y,APPLICANT,O,45,30,3,PR003,0,60000,22,Y,5,N,R,0,0,0,30,Y,1,N,FAMILY,1,,POSITIVE,N,SEP,22,OWNER,,0,,,,0,0,Y,0,60000,18
24,Bad,PROF252,RAIPUR ,MARUTI SUZUKI ERTIGA ZXI PETROL 2012,550000,354250,17787,24,Y,SELF,O,20,20,3,PR005,30,7000,10,Y,5,N,O,30000,500000,20,3,N,2,N,PURCHASE OF VEHICLE,1,MUNGALI,POSITIVE,N,SEP,10,FARMER,,0,,,,0,0,Y,1000,6000,296
25,Good,PROF096,GWALIOR ,MARUTI SUZUKI SWIFT DZIRE VDI DIESEL 2012,400000,304250,8621,48,Y,SELF,O,20,1,3,PR006,0,48000,10,Y,1,N,O,0,0,0,5,Y,1,N,FOR PERSONAL USAGES,1,,POSITIVE,N,SEP,3,OWNER,,0,,,,0,0,Y,15000,33000,26
26,Good,PROF365,SALEM ,TATA INDICA VISTA VX QUADRAJET DIESEL 2012,300000,204250,7657,36,Y,APPLICANT,O,29,29,3,PR002,0,45000,11,Y,5,N,R,0,0,0,0,N,2,N,APPLICANT,1,MATTHUR,POSITIVE,N,SAL,11,HITACHI OPERATOR,,0,,,,0,0,Y,10000,35000,22
27,Bad,PROF235,RAIPUR ,MARUTI SUZUKI SWIFT VDI ABS BS IV DIESEL 2012,470000,374250,9372,60,Y,SELF,O,10,10,3,PR005,30,45000,10,N,5,N,O,50000,400000,20,1,Y,2,N,PURCHASE OF VEHICLE,1,BILASPUR,POSITIVE,N,SEP,10,PRPOREITOR,,0,,,,0,0,Y,15000,30000,31
28,Good,PROF245,MYSORE,MAHINDRA SCORPIO VLX BS III DIESEL 2010,570000,504250,15600,48,Y,APPLICANT,O,30,30,3,PR004,45,40000,9,Y,6,N,R,200000,100000,35,2,Y,2,N,PERSONAL USE.,1,MYSORE,POSITIVE,N,SEP,9,PARTNER,,0,,,,0,0,Y,8000,32000,49
29,Bad,PROF284,MADURAI,CHEVROLET TAVERA B1 10 STR BS III DIESEL 2011,500000,404250,12633,48,Y,APPLICANT,O,30,30,3,PR005,0,160000,10,N,,Y,O,0,0,0,1,Y,2,N,APPLICANT,1,DEVIPATTINAM,POSITIVE,N,SEP,10,PROPRIETOR,,0,,,,0,0,Y,30000,130000,10
30,Good,PROF207,BHOPAL,MAHINDRA BOLERO SLE DIESEL 2012,420000,304250,8874,48,Y,SELF,O,20,20,3,PR005,0,25000,15,N,,N,O,25000,0,0,0,Y,1,N,PERSONAL USE,1,BHOPAL ,POSITIVE,N,SEP,15,PROPRIETOR ,,0,,,,0,0,Y,0,25000,35
31,Good,PROF247,VIJAYAWADA,MARUTI SUZUKI SWIFT DZIRE ZDI BS IV DIESEL 2013,450000,400000,12167,48,Y,APPLICANT,O,2,2,3,PR005,0,60000,5,N,,N,O,0,0,0,1,Y,1,N,VEHICLE,1,VIJAYAWADA,POSITIVE,N,SEP,3,PROPREITOR,,0,,,,0,0,Y,10000,50000,24
32,Good,PROF235,BHOPAL ,CHEVROLET TAVERA ELITE LS B3 7 STR BS III DIESEL 2012,650000,404250,10612,60,Y,SELF,O,35,35,3,PR005,0,90000,10,N,,Y,O,0,0,0,9,N,2,Y,FOR PERSONAL USE,1,GUNA,POSITIVE,N,SEP,10,PROPRIETOR,,0,,,,0,0,Y,55000,35000,30
33,Bad,PROF389,NASIK,TOYOTA FORTUNER 3.0 MT 4X4 DIESEL 2012,2091000,1212500,35360,48,Y,SELF,O,30,15,3,PR005,0,800000,5,Y,5,Y,O,120000,0,40,5,Y,2,N,RE FINANCE REQ ON INNOVA,1,SHIRDI  TAL RAHATA DIST A NAGAR,POSITIVE,N,SEP,5,PROPRIETOR,,,,,,,,Y,,,NA
